::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:16:20:59 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:16:21:12 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /api/categories HTTP/1.1" 200 169 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /api/products?limit=20 HTTP/1.1" 200 5017 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:22:44 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:22:45 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:22:45 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:22:45 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:16:23:50 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /api/categories HTTP/1.1" 200 169 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:23:53 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:23:54 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:23:54 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:23:54 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:24:26 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:24:26 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:24:26 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:24:26 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:24:26 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:24:58 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:24:58 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:24:58 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:24:59 +0000] "GET /uploads/image-1734284174394-295897489.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:24:59 +0000] "GET /uploads/image-1734454344471-327032196.jpg HTTP/1.1" 200 358262 "-" "node"
::1 - - [19/Dec/2024:16:24:59 +0000] "GET /uploads/image-1734447963446-999382934.jpg HTTP/1.1" 200 30516 "-" "node"
::1 - - [19/Dec/2024:16:24:59 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:24:59 +0000] "GET /uploads/image-1734369878487-852219801.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:26:05 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:26:05 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:26:05 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:26:05 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:26:05 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:26:05 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:05 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /api/categories HTTP/1.1" 200 169 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734454344471-327032196.jpg HTTP/1.1" 200 358262 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734284174394-295897489.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734447963446-999382934.jpg HTTP/1.1" 200 30516 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734369878487-852219801.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734369166565-374496589.jpg HTTP/1.1" 200 66381 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734368953359-598121147.jpg HTTP/1.1" 200 113427 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734364804918-409280823.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734285980635-656111299.jpg HTTP/1.1" 200 83109 "-" "node"
::1 - - [19/Dec/2024:16:26:06 +0000] "GET /uploads/image-1734284531097-148798972.jpg HTTP/1.1" 200 268613 "-" "node"
::1 - - [19/Dec/2024:16:26:09 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /api/categories HTTP/1.1" 200 169 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:26:10 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:29:05 +0000] "GET /api/categories HTTP/1.1" 200 169 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:29:05 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /api/categories HTTP/1.1" 200 169 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:29:11 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734447963446-999382934.jpg HTTP/1.1" 200 30516 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734284174394-295897489.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734454344471-327032196.jpg HTTP/1.1" 200 358262 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734369878487-852219801.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734369166565-374496589.jpg HTTP/1.1" 200 66381 "-" "node"
::1 - - [19/Dec/2024:16:29:12 +0000] "GET /uploads/image-1734368953359-598121147.jpg HTTP/1.1" 200 113427 "-" "node"
::1 - - [19/Dec/2024:16:29:13 +0000] "GET /uploads/image-1734364804918-409280823.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:16:29:13 +0000] "GET /uploads/image-1734285980635-656111299.jpg HTTP/1.1" 200 83109 "-" "node"
::1 - - [19/Dec/2024:16:29:13 +0000] "GET /uploads/image-1734284531097-148798972.jpg HTTP/1.1" 200 268613 "-" "node"
::1 - - [19/Dec/2024:16:30:05 +0000] "GET /api/categories HTTP/1.1" 200 169 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:05 +0000] "GET /api/category-products?page=undefined&limit=20&category= HTTP/1.1" 500 77 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:12 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:17 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:17 +0000] "GET /api/categories HTTP/1.1" 200 169 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:17 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:17 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:17 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:17 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "-" "axios/1.7.9"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:30:18 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734284174394-295897489.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734454344471-327032196.jpg HTTP/1.1" 200 358262 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734447963446-999382934.jpg HTTP/1.1" 200 30516 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734369878487-852219801.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734369166565-374496589.jpg HTTP/1.1" 200 66381 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734368953359-598121147.jpg HTTP/1.1" 200 113427 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734364804918-409280823.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734285980635-656111299.jpg HTTP/1.1" 200 83109 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734284531097-148798972.jpg HTTP/1.1" 200 268613 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:30:19 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:16:30:21 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:21 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:21 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:16:30:29 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:16:30:42 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
